title, type, year, month, thumbnail, fOrder, jhOrder
'Vase with Myosotis and Peonies', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0243a.jpg', '243a', '1106'
'Garden with Sunflowers', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0388v.jpg', '388v', '1307'
'Path in the Woods', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0309.jpg', '309', '1315'
'Vase with Asters and Phlox', 'oil on canvas', 1886, 8, 'http://www.vggallery.com/painting/f_0234.jpg', '234', '1168'
'Vase with Gladioli', 'oil on canvas', 1886, 8, 'http://www.vggallery.com/painting/f_0248a.jpg', '248a', '1148'
'View of the Roofs of Paris', 'oil on canvas', 1886, 8, 'http://www.vggallery.com/painting/f_0261.jpg', '261', '1101'
'Basket of Sprouting Bulbs', 'oil on canvas', 1887, 3, 'http://www.vggallery.com/painting/f_0336.jpg', '336', '1227'
'Flowerpot with Chives', 'oil on canvas', 1887, 3, 'http://www.vggallery.com/painting/f_0337.jpg', '337', '1229'
'Self-Portrait with Grey Felt Hat II', 'oil on canvas', 1887, 3, 'http://www.vggallery.com/painting/f_0296.jpg', '296', '1210'
'Portrait of Theo van Gogh', 'oil on canvas', 1887, 3, 'http://www.vggallery.com/painting/f_0294.jpg', '294', '1209'
'Still Life with a Basket of Crocuses', 'oil on canvas', 1887, 3, 'http://www.vggallery.com/painting/f_0334.jpg', '334', '1228'
'Still Life with Three Books', 'oil on canvas', 1887, 3, 'http://www.vggallery.com/painting/f_0335.jpg', '335', '1226'
'Still Life with Lemons on a Plate', 'oil on canvas', 1887, 3, 'http://www.vggallery.com/painting/f_0338.jpg', '338', '1237'
'The Banks of the Seine', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0293.jpg', '293', '1269'
'Chestnut Tree in Blossom I', 'oil on canvas', 1887, 4, 'http://www.vggallery.com/painting/f_0270a.jpg', '270a', '1272'
'Pair of Shoes, A II', 'oil on canvas', 1886, 6, 'http://www.vggallery.com/painting/f_0255.jpg', '255', '1124'
'The Kingfisher', 'oil on canvas', 1886, 6, 'http://www.vggallery.com/painting/f_0028.jpg', '28', '1191'
'Japonaiserie: Bridge in the Rain (after Hiroshige)', 'oil on canvas', 1887, 9, 'http://www.vggallery.com/painting/f_0372.jpg', '372', '1297'
'Japonaiserie: Flowering Plum Tree (after Hiroshige)', 'oil on canvas', 1887, 9, 'http://www.vggallery.com/painting/f_0371.jpg', '371', '1296'
'Japonaiserie: Oiran (after Kesaï Eisen)', 'oil on canvas', 1887, 9, 'http://www.vggallery.com/painting/f_0373.jpg', '373', '1298'
'Self-Portrait I', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0267.jpg', '267', '1224'
'Self-Portrait II', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0356.jpg', '356', '1248'
'Nude Study of a Little Girl, Seated', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0215.jpg', '215', '1045'
'Plaster Statuette of a Female Torso I', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0216a.jpg', '216a', '1054'
'Plaster Statuette of a Female Torso II', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0216b.jpg', '216b', '1060'
'Plaster Statuette of a Female Torso III', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0216d.jpg', '216d', '1071'
'Plaster Statuette of a Female Torso IV', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0216g.jpg', '216g', '1055'
'Plaster Statuette of a Female Torso V', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0216h.jpg', '216h', '1058'
'Plaster Statuette of a Female Torso VI', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0216i.jpg', '216i', '1072'
'Plaster Statuette of a Female Torso VII', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0216j.jpg', '216j', '1059'
'Plaster Statuette of a Horse', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0216c.jpg', '216c', '1082'
'Plaster Statuette of a Kneeling Man', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0216f.jpg', '216f', '1076'
'Plaster Statuette of a Male Torso', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_00216.jpg', '216e', '1078'
'Self-Portrait with Dark Felt Hat', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0208a.jpg', '208a', '1089'
'Self-Portrait with Dark Felt Hat at the Easel', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0181.jpg', '181', '1090'
'Self-Portrait with Pipe I', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0180.jpg', '180', '1194'
'Self-Portrait with Pipe II', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0208.jpg', '208', '1195'
'Sloping Path in Montmartre', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0232.jpg', '232', '1113'
'Tambourine with Pansies', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0244.jpg', '244', '1093'
'View of Roofs and Backs of Houses', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0231.jpg', '231', '1099'
'Still Life with Absinthe', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0339.jpg', '339', '1238'
'Still Life with Decanter and Lemons on a Plate', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0340.jpg', '340', '1239'
'View of Paris from Vincent\'s Room in the Rue Lepic I', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0341.jpg', '341', '1242'
'Woman Sitting by a Cradle', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0369.jpg', '369', '1206'
'Coleus Plant in a Flowerpot', 'oil on canvas', 1886, 6, 'http://www.vggallery.com/painting/f_0281.jpg', '281', '1143'
'Glass with Roses', 'oil on canvas', 1886, 6, 'http://www.vggallery.com/painting/f_0218.jpg', '218', '1144'
'Exterior of a Restaurant at Asnieres', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0321.jpg', '321', '1311'
'The Seine with the Pont de la Grande Jette', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0304.jpg', '304', '1326'
'Self-Portrait III', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0269v.jpg', '269v', '1301'
'Self-Portrait IV', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0109v.jpg', '109v', '1303'
'Self-Portrait V', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0077v.jpg', '77v', '1304'
'Self-Portrait with Straw Hat I', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0061v.jpg', '61v', '1302'
'Self-Portrait with Straw Hat II', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0469.jpg', '469', '1310'
'Self-Portrait with Straw Hat and Pipe', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0179v.jpg', '179v', '1300'
'Trees and Undergrowth I', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0307.jpg', '307', '1318'
'Trees and Undergrowth II', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0309a.jpg', '309a', '1312'
'Undergrowth I', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0308.jpg', '308', '1313'
'Vegetable Gardens at Montmartre', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0316.jpg', '316', '1246'
'Wheat Field with a Lark', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0310.jpg', '310', '1274'
'Portrait of a Man with a Skull Cap', 'oil on canvas', 1886, 0, 'http://www.vggallery.com/painting/f_0289.jpg', '289', '1203'
